SN:3K60180900005025 BD:Mar  4 2019 VC:8e23308 MD5:f101f94627418f74a3585d7604b9ffe7
SysTime,                      Time,      [CH4]_ppm,      [CO2]_ppm,      [H2O]_ppm,     [CH4]d_ppm,     [CO2]d_ppm,      GasP_torr,         GasT_C,         AmbT_C,         RD0_us,            Gnd,         LTC0_v,             HZ,         Batt_v,   BATT_PERCENT,    Pres_Status,    Temp_Status,Analyzer_Status,       Fit_Flag,      MIU_VALVE,       MIU_DESC, Latitude(degrees),Longitude(degrees),Altitude(millimeters),Altitudeaboveground(millimeters),GroundXSpeed(m/s*100),GroundYSpeed(m/s*100),GroundZSpeed(m/s*100),Vehicleheading(degrees*100),Absolutepressure(hectopascal),Differentialpressure(hectopascal),Temperature(celsius),Winddirection(degrees),Windspeed(m/s),Windspeed_z(m/s),Rollangle(rad),Pitchangle(rad),Yawangle(rad), WindSpeed3D(m/s),WindDirection(degree),Uvector(m/s),Vvector(m/s),Wvector(m/s),Temperature(C)
09/17/2019 11:23:51.528, 09/17/2019 11:23:51.351, 8.75034e-1, -3.34405e+3, 1.60510e+5, 5.21170e-1, -1.99172e+3, 5.01527e+2, 1.13733e+1, 1.83808e+1, 6.81125e-1, 3.87196e-2, -2.03287e+0, 7.97442e-1, 4.15806e+0, -2.32946e+2, 0.00000e+0, 2.00000e+1, 1.75000e+1, 2, -1, Disabled, 65.1262283, -147.4763336, 207630, 440, 4, -3, 3, 10370, 983.1353149, -0.0204687, 41, 0, 0, 0, 0.0140762, 0.0037244, 1.8099990, 0,0,0,0,0,0
09/17/2019 11:23:51.677, 09/17/2019 11:23:51.616, 1.94826e+0, 4.56488e+2, 7.68276e+3, 1.96335e+0, 4.60022e+2, 5.01454e+2, 1.13473e+1, 1.83925e+1, 3.48325e+0, 7.72708e-2, -2.03173e+0, 3.75940e+0, 4.20377e+0, 1.15372e+2, 0.00000e+0, 2.00000e+1, 2.00000e+1, 2, -1, Disabled, 65.1262283, -147.4763336, 207630, 440, 4, -2, 3, 10370, 983.1309814, -0.0247656, 41, 0, 0, 0, 0.0141370, 0.0036424, 1.8099400, 0,0,0,0,0,0
09/17/2019 11:23:51.875, 09/17/2019 11:23:51.809, 1.95096e+0, 4.57998e+2, 7.48842e+3, 1.96568e+0, 4.61454e+2, 5.01445e+2, 1.14911e+1, 1.83858e+1, 3.48369e+0, 7.72649e-2, -2.03173e+0, 5.05051e+0, 4.19026e+0, 1.13158e+2, 0.00000e+0, 2.00000e+1, 2.00000e+1, 2, -1, Disabled, 65.1262283, -147.4763336, 207630, 440, 4, -2, 3, 10369, 983.1223755, -0.0333594, 41, 0, 0, 0, 0.0142131, 0.0036005, 1.8098582, 0,0,0,0,0,0
09/17/2019 11:23:52.072, 09/17/2019 11:23:52.010, 1.94866e+0, 4.53213e+2, 7.63980e+3, 1.96366e+0, 4.56702e+2, 5.01454e+2, 1.14054e+1, 1.84012e+1, 3.48418e+0, 7.71116e-2, -2.03173e+0, 5.10204e+0, 4.19548e+0, 1.14013e+2, 0.00000e+0, 2.00000e+1, 2.00000e+1, 2, -1, Disabled, 65.1262283, -147.4763336, 207630, 440, 4, -2, 3, 10370, 983.1420898, -0.0136719, 41, 0, 0, 0, 0.0142399, 0.0035128, 1.8099250, 0,0,0,0,0,0
09/17/2019 11:23:52.267, 09/17/2019 11:23:52.210, 1.95050e+0, 4.57607e+2, 7.38035e+3, 1.96500e+0, 4.61010e+2, 5.01690e+2, 1.14630e+1, 1.84006e+1, 3.48397e+0, 7.71065e-2, -2.03173e+0, 5.12821e+0, 4.19351e+0, 1.13691e+2, 0.00000e+0, 2.00000e+1, 2.00000e+1, 2, -1, Disabled, 65.1262283, -147.4763336, 207630, 440, 4, -2, 3, 10369, 983.1378784, -0.0178906, 41, 0, 0, 0, 0.0142402, 0.0034415, 1.8098733, 0,0,0,0,0,0
09/17/2019 11:23:52.467, 09/17/2019 11:23:52.408, 1.95069e+0, 4.55170e+2, 7.52810e+3, 1.96549e+0, 4.58623e+2, 5.01806e+2, 1.13813e+1, 1.84049e+1, 3.48343e+0, 7.70000e-2, -2.03010e+0, 5.05051e+0, 4.19672e+0, 1.14217e+2, 0.00000e+0, 2.00000e+1, 2.00000e+1, 2, -1, Disabled, 65.1262283, -147.4763336, 207630, 440, 4, -2, 3, 10369, 983.1412964, -0.0144531, 41, 0, 0, 0, 0.0143141, 0.0033728, 1.8098968, 0,0,0,0,0,0
09/17/2019 11:23:52.650, 09/17/2019 11:23:52.583, 1.95141e+0, 4.59357e+2, 7.40293e+3, 1.96597e+0, 4.62783e+2, 5.01953e+2, 1.13579e+1, 1.84063e+1, 3.48436e+0, 7.69312e-2, -2.03010e+0, 5.46448e+0, 4.20226e+0, 1.15125e+2, 0.00000e+0, 2.00000e+1, 2.00000e+1, 2, -1, Disabled, 65.1262283, -147.4763336, 207630, 440, 4, -2, 3, 10369, 983.1412964, -0.0144531, 41, 0, 0, 0, 0.0143141, 0.0033728, 1.8098968, 0,0,0,0,0,0
09/17/2019 11:23:52.843, 09/17/2019 11:23:52.777, 1.95081e+0, 4.56396e+2, 7.23044e+3, 1.96502e+0, 4.59720e+2, 5.01956e+2, 1.14253e+1, 1.84114e+1, 3.48449e+0, 7.67685e-2, -2.03010e+0, 5.20833e+0, 4.20526e+0, 1.15617e+2, 0.00000e+0, 2.00000e+1, 2.00000e+1, 2, -1, Disabled, 65.1262283, -147.4763336, 207640, 450, 4, -2, 3, 10369, 983.1412964, -0.0144531, 41, 0, 0, 0, 0.0143572, 0.0032799, 1.8097972, 0,0,0,0,0,0
09/17/2019 11:23:53.033, 09/17/2019 11:23:52.970, 1.95039e+0, 4.54834e+2, 7.27858e+3, 1.96469e+0, 4.58169e+2, 5.01830e+2, 1.13227e+1, 1.84062e+1, 3.48449e+0, 7.66665e-2, -2.03010e+0, 5.29101e+0, 4.20428e+0, 1.15456e+2, 0.00000e+0, 2.00000e+1, 2.00000e+1, 2, -1, Disabled, 65.1262283, -147.4763336, 207640, 450, 4, -2, 3, 10369, 983.1340332, -0.0217187, 41, 0, 0, 0, 0.0143595, 0.0032329, 1.8097568, 0,0,0,0,0,0
09/17/2019 11:23:53.228, 09/17/2019 11:23:53.164, 1.95345e+0, 4.55442e+2, 7.39810e+3, 1.96801e+0, 4.58836e+2, 5.01552e+2, 1.13754e+1, 1.84010e+1, 3.48311e+0, 7.65728e-2, -2.03010e+0, 5.15464e+0, 4.19897e+0, 1.14585e+2, 0.00000e+0, 2.00000e+1, 2.00000e+1, 2, -1, Disabled, 65.1262283, -147.4763336, 207650, 460, 4, -2, 3, 10369, 983.1306763, -0.0250781, 41, 0, 0, 0, 0.0143223, 0.0031981, 1.8097345, 0,0,0,0,0,0
